ID_ID,day,month,year,TotalCase,DeathCount,CountriesAndTerritories,GeoId,countryterritoryCode,popData2018,cONTINENT
244,15,5,2020,189,7,Algeria,DZ,DZA,42228429,Africa
245,14,5,2020,186,7,Algeria,DZ,DZA,42228429,Africa
246,13,5,2020,176,8,Algeria,DZ,DZA,42228429,Africa
247,12,5,2020,168,5,Algeria,DZ,DZA,42228429,Africa
248,11,5,2020,165,8,Algeria,DZ,DZA,42228429,Africa
249,10,5,2020,189,6,Algeria,DZ,DZA,42228429,Africa
250,9,5,2020,187,5,Algeria,DZ,DZA,42228429,Africa
251,8,5,2020,185,7,Algeria,DZ,DZA,42228429,Africa
252,7,5,2020,159,6,Algeria,DZ,DZA,42228429,Africa
253,6,5,2020,190,5,Algeria,DZ,DZA,42228429,Africa
254,5,5,2020,174,2,Algeria,DZ,DZA,42228429,Africa
255,4,5,2020,179,4,Algeria,DZ,DZA,42228429,Africa
256,3,5,2020,141,6,Algeria,DZ,DZA,42228429,Africa
257,2,5,2020,148,3,Algeria,DZ,DZA,42228429,Africa
258,1,5,2020,158,6,Algeria,DZ,DZA,42228429,Africa
259,30,4,2020,199,7,Algeria,DZ,DZA,42228429,Africa
260,29,4,2020,132,5,Algeria,DZ,DZA,42228429,Africa
261,28,4,2020,135,7,Algeria,DZ,DZA,42228429,Africa
262,27,4,2020,126,6,Algeria,DZ,DZA,42228429,Africa
263,26,4,2020,129,4,Algeria,DZ,DZA,42228429,Africa
264,25,4,2020,120,8,Algeria,DZ,DZA,42228429,Africa
265,24,4,2020,97,5,Algeria,DZ,DZA,42228429,Africa
266,23,4,2020,99,10,Algeria,DZ,DZA,42228429,Africa
267,22,4,2020,93,8,Algeria,DZ,DZA,42228429,Africa
268,21,4,2020,89,9,Algeria,DZ,DZA,42228429,Africa
269,20,4,2020,94,8,Algeria,DZ,DZA,42228429,Africa
270,19,4,2020,117,3,Algeria,DZ,DZA,42228429,Africa
271,18,4,2020,150,16,Algeria,DZ,DZA,42228429,Africa
272,17,4,2020,108,12,Algeria,DZ,DZA,42228429,Africa
273,16,4,2020,90,11,Algeria,DZ,DZA,42228429,Africa
274,15,4,2020,87,12,Algeria,DZ,DZA,42228429,Africa
275,14,4,2020,69,20,Algeria,DZ,DZA,42228429,Africa
276,13,4,2020,89,18,Algeria,DZ,DZA,42228429,Africa
277,12,4,2020,64,19,Algeria,DZ,DZA,42228429,Africa
278,11,4,2020,95,21,Algeria,DZ,DZA,42228429,Africa
279,10,4,2020,94,30,Algeria,DZ,DZA,42228429,Africa
280,9,4,2020,104,12,Algeria,DZ,DZA,42228429,Africa
281,8,4,2020,45,20,Algeria,DZ,DZA,42228429,Africa
282,7,4,2020,103,21,Algeria,DZ,DZA,42228429,Africa
283,6,4,2020,69,22,Algeria,DZ,DZA,42228429,Africa
284,5,4,2020,80,25,Algeria,DZ,DZA,42228429,Africa
285,4,4,2020,185,42,Algeria,DZ,DZA,42228429,Africa
286,3,4,2020,139,5,Algeria,DZ,DZA,42228429,Africa
287,2,4,2020,131,14,Algeria,DZ,DZA,42228429,Africa
288,1,4,2020,132,9,Algeria,DZ,DZA,42228429,Africa
289,31,3,2020,73,4,Algeria,DZ,DZA,42228429,Africa
290,30,3,2020,57,2,Algeria,DZ,DZA,42228429,Africa
291,29,3,2020,45,3,Algeria,DZ,DZA,42228429,Africa
292,28,3,2020,42,1,Algeria,DZ,DZA,42228429,Africa
293,27,3,2020,65,4,Algeria,DZ,DZA,42228429,Africa
294,26,3,2020,38,2,Algeria,DZ,DZA,42228429,Africa
295,25,3,2020,34,2,Algeria,DZ,DZA,42228429,Africa
296,24,3,2020,29,0,Algeria,DZ,DZA,42228429,Africa
297,23,3,2020,62,2,Algeria,DZ,DZA,42228429,Africa
298,22,3,2020,37,5,Algeria,DZ,DZA,42228429,Africa
299,21,3,2020,12,3,Algeria,DZ,DZA,42228429,Africa
300,20,3,2020,18,1,Algeria,DZ,DZA,42228429,Africa
301,19,3,2020,12,1,Algeria,DZ,DZA,42228429,Africa
302,18,3,2020,2,1,Algeria,DZ,DZA,42228429,Africa
303,17,3,2020,10,0,Algeria,DZ,DZA,42228429,Africa
304,16,3,2020,11,2,Algeria,DZ,DZA,42228429,Africa
305,15,3,2020,11,0,Algeria,DZ,DZA,42228429,Africa
306,14,3,2020,1,1,Algeria,DZ,DZA,42228429,Africa
307,13,3,2020,5,1,Algeria,DZ,DZA,42228429,Africa
308,12,3,2020,0,0,Algeria,DZ,DZA,42228429,Africa
309,9,3,2020,3,0,Algeria,DZ,DZA,42228429,Africa
310,6,3,2020,5,0,Algeria,DZ,DZA,42228429,Africa
311,5,3,2020,7,0,Algeria,DZ,DZA,42228429,Africa
312,4,3,2020,2,0,Algeria,DZ,DZA,42228429,Africa
313,2,3,2020,0,0,Algeria,DZ,DZA,42228429,Africa
314,1,3,2020,2,0,Algeria,DZ,DZA,42228429,Africa
315,29,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
316,28,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
317,27,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
318,26,2,2020,1,0,Algeria,DZ,DZA,42228429,Africa
319,25,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
320,24,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
321,23,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
322,22,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
323,21,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
324,20,2,2020,0,0,Algeria,DZ,DZA,42228429,Africa
